Recrutamento para vaga de emprego;;;;;
Nome;Idade;Ensino Médio;Curso técnico;Anos de experiência na área;Situacao
Alfa Romeu Julia;17;Não;Sim;1;Não apto
Fusclaudia de Oliveira;24;Sim;Sim;3;Apto
Unotavio dos Santos;28;Sim;Sim;4;Apto
Nissan Silvia;18;Sim;Não;1;Não apto
Ferrari Enzo;22;Sim;Sim;2;Não apto
;;;;;
;;;;;
;;;;;
Requisitos para ser contratado;;;;;
Ter idade maior ou igual a 18 anos;;;;;
Ter ensino médio completo;;;;;
Ter curso vendedor;;;;;
Ter no minimo 3 anos de eperiência na área;;;;;
